Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion,Month Name,Hour(Order),Diff(order and del),Days,Hour(delivery_time),Product.Price (INR),Revenu,Order_Days,Order_Date (Month Index),Order_Date (Month),0
169,C051,3,2,2023-02-06,10:28:57 AM,2023-02-16,1:26:19 AM,Shivpuri,Valentine's Day,February,10,10,10,1,1534,3068,Monday,2,Feb,
173,C072,58,2,2023-02-07,11:15:37 PM,2023-02-13,1:51:53 AM,Deoghar,Valentine's Day,February,23,6,6,1,1492,2984,Tuesday,2,Feb,
182,C070,2,1,2023-02-08,11:21:30 PM,2023-02-15,6:07:33 AM,Chennai,Valentine's Day,February,23,7,7,6,441,441,Wednesday,2,Feb,
184,C027,52,3,2023-02-11,9:34:53 PM,2023-02-20,5:00:29 AM,Dharmavaram,Valentine's Day,February,21,9,9,5,236,708,Saturday,2,Feb,
187,C008,49,5,2023-02-11,9:10:41 PM,2023-02-16,9:34:09 AM,Anantapur,Valentine's Day,February,21,5,5,9,903,4515,Saturday,2,Feb,
194,C030,58,4,2023-02-08,11:41:29 AM,2023-02-09,4:54:30 AM,Pondicherry,Valentine's Day,February,11,1,1,4,1492,5968,Wednesday,2,Feb,
206,C099,68,3,2023-02-11,10:12:16 PM,2023-02-13,12:42:01 PM,Ulhasnagar,Valentine's Day,February,22,2,2,12,597,1791,Saturday,2,Feb,
223,C051,49,2,2023-02-05,8:44:25 AM,2023-02-13,10:17:59 AM,Bhalswa Jahangir Pur,Valentine's Day,February,8,8,8,10,903,1806,Sunday,2,Feb,
225,C093,52,5,2023-02-05,12:12:26 PM,2023-02-06,6:01:06 PM,Arrah,Valentine's Day,February,12,1,1,18,236,1180,Sunday,2,Feb,
229,C079,49,3,2023-02-11,8:55:38 PM,2023-02-20,9:32:50 AM,Junagadh,Valentine's Day,February,20,9,9,9,903,2709,Saturday,2,Feb,
243,C043,3,1,2023-02-05,8:50:37 PM,2023-02-10,12:30:54 PM,Siwan,Valentine's Day,February,20,5,5,12,1534,1534,Sunday,2,Feb,
248,C044,19,5,2023-02-08,8:43:41 AM,2023-02-10,4:15:01 AM,Alwar,Valentine's Day,February,8,2,2,4,1234,6170,Wednesday,2,Feb,
253,C010,68,2,2023-02-12,2:24:46 PM,2023-02-14,5:39:27 AM,Bangalore,Valentine's Day,February,14,2,2,5,597,1194,Sunday,2,Feb,
262,C038,49,3,2023-02-07,8:05:16 AM,2023-02-11,1:06:57 AM,Tirunelveli,Valentine's Day,February,8,4,4,1,903,2709,Tuesday,2,Feb,
264,C010,52,3,2023-02-09,5:35:19 AM,2023-02-18,3:43:46 PM,Asansol,Valentine's Day,February,5,9,9,15,236,708,Thursday,2,Feb,
265,C060,58,1,2023-02-10,9:17:18 PM,2023-02-18,6:28:33 AM,Gudivada,Valentine's Day,February,21,8,8,6,1492,1492,Friday,2,Feb,
280,C003,19,3,2023-02-07,5:44:47 PM,2023-02-12,4:31:05 PM,Mangalore,Valentine's Day,February,17,5,5,16,1234,3702,Tuesday,2,Feb,
291,C072,49,2,2023-02-10,12:12:40 AM,2023-02-11,10:52:51 PM,Nadiad,Valentine's Day,February,0,1,1,22,903,1806,Friday,2,Feb,
298,C057,3,1,2023-02-11,11:06:29 PM,2023-02-12,2:17:43 AM,Bahraich,Valentine's Day,February,23,1,1,2,1534,1534,Saturday,2,Feb,
306,C085,49,4,2023-02-04,11:35:51 AM,2023-02-12,6:38:00 AM,Bellary,Valentine's Day,February,11,8,8,6,903,3612,Saturday,2,Feb,
307,C042,3,1,2023-02-04,9:37:54 PM,2023-02-08,11:28:10 AM,Durgapur,Valentine's Day,February,21,4,4,11,1534,1534,Saturday,2,Feb,
316,C048,2,5,2023-02-11,9:35:05 PM,2023-02-15,7:21:50 AM,Muzaffarnagar,Valentine's Day,February,21,4,4,7,441,2205,Saturday,2,Feb,
350,C020,19,3,2023-02-13,12:22:57 PM,2023-02-22,4:26:10 PM,Kolkata,Valentine's Day,February,12,9,9,16,1234,3702,Monday,2,Feb,
366,C033,3,3,2023-02-08,11:15:47 PM,2023-02-16,10:51:38 AM,Kolkata,Valentine's Day,February,23,8,8,10,1534,4602,Wednesday,2,Feb,
399,C008,68,1,2023-02-08,6:21:47 AM,2023-02-15,7:08:14 AM,Bareilly,Valentine's Day,February,6,7,7,7,597,597,Wednesday,2,Feb,
405,C033,49,1,2023-02-10,11:05:14 PM,2023-02-18,2:47:38 PM,Guwahati,Valentine's Day,February,23,8,8,14,903,903,Friday,2,Feb,
416,C006,58,5,2023-02-12,4:41:02 PM,2023-02-17,9:37:01 AM,Saharanpur,Valentine's Day,February,16,5,5,9,1492,7460,Sunday,2,Feb,
423,C067,19,1,2023-02-11,4:46:58 PM,2023-02-17,12:10:05 AM,Alappuzha,Valentine's Day,February,16,6,6,0,1234,1234,Saturday,2,Feb,
426,C073,2,2,2023-02-13,10:59:54 PM,2023-02-17,1:51:00 PM,Kharagpur,Valentine's Day,February,22,4,4,13,441,882,Monday,2,Feb,
442,C023,3,3,2023-02-08,6:03:20 PM,2023-02-15,8:05:39 AM,Khandwa,Valentine's Day,February,18,7,7,8,1534,4602,Wednesday,2,Feb,
443,C046,49,3,2023-02-04,10:22:19 PM,2023-02-13,2:16:00 AM,Secunderabad,Valentine's Day,February,22,9,9,2,903,2709,Saturday,2,Feb,
446,C079,33,5,2023-02-12,2:54:04 AM,2023-02-15,11:03:28 AM,Bokaro,Valentine's Day,February,2,3,3,11,314,1570,Sunday,2,Feb,
449,C045,49,4,2023-02-13,3:18:26 AM,2023-02-16,10:09:41 AM,Ichalkaranji,Valentine's Day,February,3,3,3,10,903,3612,Monday,2,Feb,
451,C079,33,5,2023-02-07,12:16:52 AM,2023-02-13,9:10:57 PM,Ujjain,Valentine's Day,February,0,6,6,21,314,1570,Tuesday,2,Feb,
454,C088,3,2,2023-02-07,11:26:49 PM,2023-02-09,1:21:56 AM,Suryapet,Valentine's Day,February,23,2,2,1,1534,3068,Tuesday,2,Feb,
456,C071,33,2,2023-02-12,10:51:39 PM,2023-02-15,10:14:06 PM,Nangloi Jat,Valentine's Day,February,22,3,3,22,314,628,Sunday,2,Feb,
477,C099,33,4,2023-02-12,5:18:09 PM,2023-02-14,3:11:52 AM,Gangtok,Valentine's Day,February,17,2,2,3,314,1256,Sunday,2,Feb,
478,C003,11,5,2023-02-08,1:11:21 AM,2023-02-09,9:50:19 AM,Ambarnath,Valentine's Day,February,1,1,1,9,1096,5480,Wednesday,2,Feb,
479,C071,11,1,2023-02-07,5:48:21 PM,2023-02-11,10:48:13 AM,Ghaziabad,Valentine's Day,February,17,4,4,10,1096,1096,Tuesday,2,Feb,
490,C075,2,1,2023-02-12,12:28:03 PM,2023-02-14,12:27:19 PM,Eluru,Valentine's Day,February,12,2,2,12,441,441,Sunday,2,Feb,
492,C047,33,2,2023-02-04,1:54:25 PM,2023-02-13,12:04:33 PM,Salem,Valentine's Day,February,13,9,9,12,314,628,Saturday,2,Feb,
493,C035,11,1,2023-02-05,10:11:24 PM,2023-02-06,3:43:11 PM,Gopalpur,Valentine's Day,February,22,1,1,15,1096,1096,Sunday,2,Feb,
496,C021,11,4,2023-02-09,2:31:57 PM,2023-02-16,1:05:41 PM,Sambhal,Valentine's Day,February,14,7,7,13,1096,4384,Thursday,2,Feb,
498,C100,19,4,2023-02-13,9:34:44 PM,2023-02-20,9:14:24 PM,Bhusawal,Valentine's Day,February,21,7,7,21,1234,4936,Monday,2,Feb,
519,C014,52,4,2023-02-07,11:10:38 PM,2023-02-15,6:40:20 AM,Hindupur,Valentine's Day,February,23,8,8,6,236,944,Tuesday,2,Feb,
521,C062,33,5,2023-02-04,9:00:17 PM,2023-02-08,2:28:38 AM,Noida,Valentine's Day,February,21,4,4,2,314,1570,Saturday,2,Feb,
527,C036,33,3,2023-02-11,12:51:40 PM,2023-02-19,3:58:07 PM,Bardhaman,Valentine's Day,February,12,8,8,15,314,942,Saturday,2,Feb,
561,C099,49,5,2023-02-12,12:24:35 PM,2023-02-21,5:23:34 PM,Ghaziabad,Valentine's Day,February,12,9,9,17,903,4515,Sunday,2,Feb,
563,C077,58,5,2023-02-11,11:43:18 AM,2023-02-19,5:04:29 AM,Jorhat,Valentine's Day,February,11,8,8,5,1492,7460,Saturday,2,Feb,
573,C040,3,5,2023-02-08,2:52:06 AM,2023-02-14,2:57:06 AM,Thane,Valentine's Day,February,2,6,6,2,1534,7670,Wednesday,2,Feb,
575,C076,49,2,2023-02-06,1:24:32 PM,2023-02-09,2:55:08 PM,Kota,Valentine's Day,February,13,3,3,14,903,1806,Monday,2,Feb,
582,C019,3,4,2023-02-04,6:30:31 PM,2023-02-05,7:16:41 PM,Latur,Valentine's Day,February,18,1,1,19,1534,6136,Saturday,2,Feb,
588,C056,49,5,2023-02-04,6:37:00 AM,2023-02-05,9:21:57 PM,Kishanganj,Valentine's Day,February,6,1,1,21,903,4515,Saturday,2,Feb,
593,C016,58,3,2023-02-05,5:30:40 PM,2023-02-12,9:34:03 AM,Bhilai,Valentine's Day,February,17,7,7,9,1492,4476,Sunday,2,Feb,
606,C047,3,5,2023-02-08,2:13:13 AM,2023-02-17,7:31:32 AM,Sambalpur,Valentine's Day,February,2,9,9,7,1534,7670,Wednesday,2,Feb,
628,C061,11,5,2023-02-10,9:50:27 PM,2023-02-13,9:07:46 PM,Ongole,Valentine's Day,February,21,3,3,21,1096,5480,Friday,2,Feb,
633,C031,52,5,2023-02-10,2:44:42 PM,2023-02-15,5:12:46 AM,Surat,Valentine's Day,February,14,5,5,5,236,1180,Friday,2,Feb,
651,C017,11,4,2023-02-13,2:16:28 AM,2023-02-19,11:55:54 AM,Panihati,Valentine's Day,February,2,6,6,11,1096,4384,Monday,2,Feb,
656,C032,68,2,2023-02-05,6:34:41 PM,2023-02-06,4:46:00 AM,Dehri,Valentine's Day,February,18,1,1,4,597,1194,Sunday,2,Feb,
659,C048,19,5,2023-02-05,5:44:56 PM,2023-02-12,10:37:43 PM,Silchar,Valentine's Day,February,17,7,7,22,1234,6170,Sunday,2,Feb,
660,C053,58,3,2023-02-11,6:08:46 AM,2023-02-21,8:48:35 PM,Amravati,Valentine's Day,February,6,10,10,20,1492,4476,Saturday,2,Feb,
669,C035,68,5,2023-02-10,7:11:50 AM,2023-02-17,9:56:42 AM,Ludhiana,Valentine's Day,February,7,7,7,9,597,2985,Friday,2,Feb,
673,C008,33,3,2023-02-04,5:54:49 AM,2023-02-07,4:25:38 AM,Gaya,Valentine's Day,February,5,3,3,4,314,942,Saturday,2,Feb,
674,C065,68,2,2023-02-07,9:41:25 AM,2023-02-16,11:40:25 PM,Chennai,Valentine's Day,February,9,9,9,23,597,1194,Tuesday,2,Feb,
711,C093,68,3,2023-02-04,5:15:28 PM,2023-02-06,2:50:53 PM,Tiruppur,Valentine's Day,February,17,2,2,14,597,1791,Saturday,2,Feb,
718,C028,49,1,2023-02-09,5:13:35 AM,2023-02-13,6:22:05 AM,Jabalpur,Valentine's Day,February,5,4,4,6,903,903,Thursday,2,Feb,
721,C022,3,5,2023-02-07,3:28:21 AM,2023-02-17,6:28:02 PM,Vasai-Virar,Valentine's Day,February,3,10,10,18,1534,7670,Tuesday,2,Feb,
728,C073,52,2,2023-02-08,1:45:46 PM,2023-02-11,4:07:16 PM,Panchkula,Valentine's Day,February,13,3,3,16,236,472,Wednesday,2,Feb,
734,C008,49,3,2023-02-11,11:44:37 AM,2023-02-14,9:06:06 AM,Morena,Valentine's Day,February,11,3,3,9,903,2709,Saturday,2,Feb,
750,C022,19,3,2023-02-08,9:22:41 AM,2023-02-14,10:24:42 PM,Chapra,Valentine's Day,February,9,6,6,22,1234,3702,Wednesday,2,Feb,
752,C034,3,5,2023-02-10,11:38:01 AM,2023-02-12,10:35:58 AM,Bally,Valentine's Day,February,11,2,2,10,1534,7670,Friday,2,Feb,
757,C001,2,3,2023-02-12,10:23:53 AM,2023-02-20,4:40:28 AM,Shivpuri,Valentine's Day,February,10,8,8,4,441,1323,Sunday,2,Feb,
779,C052,3,1,2023-02-06,6:26:37 AM,2023-02-08,2:51:51 AM,Durgapur,Valentine's Day,February,6,2,2,2,1534,1534,Monday,2,Feb,
780,C070,33,2,2023-02-10,11:30:51 AM,2023-02-13,4:28:25 AM,Bikaner,Valentine's Day,February,11,3,3,4,314,628,Friday,2,Feb,
789,C048,58,4,2023-02-08,6:19:36 PM,2023-02-15,8:00:31 AM,Bally,Valentine's Day,February,18,7,7,8,1492,5968,Wednesday,2,Feb,
793,C095,58,5,2023-02-05,5:37:16 PM,2023-02-15,1:28:17 AM,Mirzapur,Valentine's Day,February,17,10,10,1,1492,7460,Sunday,2,Feb,
804,C009,3,3,2023-02-05,5:37:18 AM,2023-02-07,1:58:08 AM,Deoghar,Valentine's Day,February,5,2,2,1,1534,4602,Sunday,2,Feb,
838,C003,19,3,2023-02-09,10:18:01 AM,2023-02-17,6:09:40 AM,Sirsa,Valentine's Day,February,10,8,8,6,1234,3702,Thursday,2,Feb,
843,C007,68,1,2023-02-11,9:46:03 PM,2023-02-12,7:27:09 PM,Bikaner,Valentine's Day,February,21,1,1,19,597,597,Saturday,2,Feb,
864,C033,11,1,2023-02-11,7:34:22 PM,2023-02-15,8:05:38 AM,Lucknow,Valentine's Day,February,19,4,4,8,1096,1096,Saturday,2,Feb,
865,C032,19,1,2023-02-12,6:09:14 PM,2023-02-13,6:38:00 AM,Kumbakonam,Valentine's Day,February,18,1,1,6,1234,1234,Sunday,2,Feb,
869,C032,3,5,2023-02-06,10:03:19 AM,2023-02-11,11:16:28 PM,Hazaribagh,Valentine's Day,February,10,5,5,23,1534,7670,Monday,2,Feb,
874,C010,68,1,2023-02-11,12:42:30 PM,2023-02-21,5:35:44 PM,Ramagundam,Valentine's Day,February,12,10,10,17,597,597,Saturday,2,Feb,
879,C092,33,2,2023-02-07,5:34:34 AM,2023-02-10,11:27:38 AM,Kishanganj,Valentine's Day,February,5,3,3,11,314,628,Tuesday,2,Feb,
891,C027,58,2,2023-02-08,2:56:43 PM,2023-02-16,11:54:45 PM,Shivpuri,Valentine's Day,February,14,8,8,23,1492,2984,Wednesday,2,Feb,
892,C025,11,4,2023-02-06,6:33:04 PM,2023-02-07,1:26:54 AM,Thrissur,Valentine's Day,February,18,1,1,1,1096,4384,Monday,2,Feb,
898,C018,52,1,2023-02-09,6:18:52 AM,2023-02-13,11:13:42 PM,Kadapa,Valentine's Day,February,6,4,4,23,236,236,Thursday,2,Feb,
904,C013,2,4,2023-02-12,10:05:48 PM,2023-02-17,1:05:37 AM,Mira-Bhayandar,Valentine's Day,February,22,5,5,1,441,1764,Sunday,2,Feb,
905,C080,58,1,2023-02-10,7:31:35 PM,2023-02-16,8:32:14 AM,Ichalkaranji,Valentine's Day,February,19,6,6,8,1492,1492,Friday,2,Feb,
906,C100,49,3,2023-02-06,1:16:20 AM,2023-02-16,9:14:48 AM,Jalandhar,Valentine's Day,February,1,10,10,9,903,2709,Monday,2,Feb,
914,C048,33,4,2023-02-09,2:52:18 PM,2023-02-14,9:47:20 AM,Sambhal,Valentine's Day,February,14,5,5,9,314,1256,Thursday,2,Feb,
916,C063,33,2,2023-02-06,4:23:09 AM,2023-02-14,9:19:24 PM,Darbhanga,Valentine's Day,February,4,8,8,21,314,628,Monday,2,Feb,
918,C083,19,2,2023-02-12,6:13:06 PM,2023-02-21,10:02:06 PM,Pali,Valentine's Day,February,18,9,9,22,1234,2468,Sunday,2,Feb,
952,C027,49,4,2023-02-12,2:48:07 AM,2023-02-22,9:19:09 AM,Bidar,Valentine's Day,February,2,10,10,9,903,3612,Sunday,2,Feb,
967,C041,68,4,2023-02-12,12:21:23 AM,2023-02-20,6:29:48 PM,Siliguri,Valentine's Day,February,0,8,8,18,597,2388,Sunday,2,Feb,
989,C017,52,3,2023-02-06,8:11:27 AM,2023-02-15,2:00:04 AM,Bidhannagar,Valentine's Day,February,8,9,9,2,236,708,Monday,2,Feb,
994,C004,68,2,2023-02-13,10:44:36 PM,2023-02-21,6:45:30 AM,Chandigarh,Valentine's Day,February,22,8,8,6,597,1194,Monday,2,Feb,
997,C098,19,2,2023-02-04,4:28:27 AM,2023-02-10,11:50:24 AM,Vasai-Virar,Valentine's Day,February,4,6,6,11,1234,2468,Saturday,2,Feb,
999,C054,52,2,2023-02-06,10:40:49 PM,2023-02-10,12:29:21 PM,Miryalaguda,Valentine's Day,February,22,4,4,12,236,472,Monday,2,Feb,
1,C037,67,5,2023-02-24,11:48:13 PM,2023-03-05,7:27:10 AM,Bardhaman,Anniversary,February,23,9,9,7,1374,6870,Friday,2,Feb,
55,C040,5,1,2023-02-08,8:01:07 AM,2023-02-13,7:42:58 AM,Kottayam,All Occasions,February,8,5,5,7,1444,1444,Wednesday,2,Feb,
31,C029,7,5,2023-02-28,1:13:22 PM,2023-03-03,11:35:49 PM,Nandyal,Holi,February,13,3,3,23,409,2045,Tuesday,2,Feb,
47,C013,7,5,2023-02-26,1:04:28 PM,2023-02-28,6:00:20 AM,Jaipur,Holi,February,13,2,2,6,409,2045,Sunday,2,Feb,
10,C099,56,3,2023-02-26,12:17:26 AM,2023-03-08,8:47:43 PM,Ambala,Anniversary,February,0,10,10,20,1272,3816,Sunday,2,Feb,
13,C024,20,3,2023-02-24,4:47:16 PM,2023-03-04,2:27:37 AM,Gandhidham,Anniversary,February,16,8,8,2,697,2091,Friday,2,Feb,
16,C013,20,3,2023-02-16,3:06:11 PM,2023-02-20,10:14:21 PM,Khammam,Anniversary,February,15,4,4,22,697,2091,Thursday,2,Feb,
21,C090,32,1,2023-02-09,11:20:52 AM,2023-02-12,11:36:26 AM,Bathinda,Birthday,February,11,3,3,11,1792,1792,Thursday,2,Feb,
42,C080,35,1,2023-02-26,12:08:38 AM,2023-03-07,5:18:28 PM,Faridabad,Holi,February,0,9,9,17,1865,1865,Sunday,2,Feb,
57,C090,35,5,2023-02-26,8:00:15 AM,2023-03-06,12:27:32 PM,Ahmedabad,Holi,February,8,8,8,12,1865,9325,Sunday,2,Feb,
66,C017,35,5,2023-02-26,9:00:44 PM,2023-02-27,6:25:58 AM,Munger,Holi,February,21,1,1,6,1865,9325,Sunday,2,Feb,
81,C053,1,5,2023-02-22,6:29:21 PM,2023-03-03,7:09:32 AM,Kalyan-Dombivli,All Occasions,February,18,9,9,7,1935,9675,Wednesday,2,Feb,
91,C061,6,2,2023-02-27,1:52:56 PM,2023-03-05,1:23:25 PM,Mahbubnagar,Holi,February,13,6,6,13,1112,2224,Monday,2,Feb,
103,C097,18,3,2023-02-01,12:24:59 PM,2023-02-08,10:51:39 PM,Ichalkaranji,Birthday,February,12,7,7,22,781,2343,Wednesday,2,Feb,
105,C063,36,2,2023-02-11,2:57:36 AM,2023-02-21,1:34:10 AM,Guna,Birthday,February,2,10,10,1,203,406,Saturday,2,Feb,
108,C012,26,4,2023-02-27,9:03:26 AM,2023-03-05,8:03:05 AM,Berhampore,Holi,February,9,6,6,8,289,1156,Monday,2,Feb,
109,C074,50,5,2023-02-27,3:35:48 PM,2023-03-01,8:38:56 AM,Gandhidham,Holi,February,15,2,2,8,422,2110,Monday,2,Feb,
114,C009,40,4,2023-02-03,4:03:15 PM,2023-02-07,2:22:48 AM,Kirari Suleman Nagar,Anniversary,February,16,4,4,2,1923,7692,Friday,2,Feb,
118,C035,62,1,2023-02-27,2:30:59 PM,2023-03-05,10:32:52 AM,Bhavnagar,Holi,February,14,6,6,10,1356,1356,Monday,2,Feb,
129,C051,67,2,2023-02-17,5:21:30 AM,2023-02-20,8:17:32 AM,Ramgarh,Anniversary,February,5,3,3,8,1374,2748,Friday,2,Feb,
141,C062,35,4,2023-02-28,3:55:06 AM,2023-03-10,2:31:56 AM,Allahabad,Holi,February,3,10,10,2,1865,7460,Tuesday,2,Feb,
143,C087,66,2,2023-02-28,7:37:18 AM,2023-03-10,2:49:54 PM,Ramagundam,Holi,February,7,10,10,14,610,1220,Tuesday,2,Feb,
152,C084,51,2,2023-02-27,10:48:51 AM,2023-03-05,4:39:22 PM,Tiruppur,All Occasions,February,10,6,6,16,1084,2168,Monday,2,Feb,
156,C030,61,2,2023-02-09,8:20:50 AM,2023-02-12,10:49:14 AM,Ozhukarai,Anniversary,February,8,3,3,10,810,1620,Thursday,2,Feb,
157,C019,35,3,2023-02-26,12:44:17 PM,2023-03-06,11:35:44 AM,Thiruvananthapuram,Holi,February,12,8,8,11,1865,5595,Sunday,2,Feb,
163,C083,54,4,2023-02-17,7:50:10 PM,2023-02-25,10:20:16 AM,Ujjain,Anniversary,February,19,8,8,10,1236,4944,Friday,2,Feb,
179,C078,47,3,2023-02-28,3:16:02 PM,2023-03-10,2:31:07 PM,Vijayanagaram,Holi,February,15,10,10,14,1638,4914,Tuesday,2,Feb,
212,C093,7,2,2023-02-28,7:14:40 AM,2023-03-05,8:01:45 PM,Ozhukarai,Holi,February,7,5,5,20,409,818,Tuesday,2,Feb,
213,C022,42,5,2023-02-14,8:26:18 AM,2023-02-24,8:58:11 AM,Dehradun,All Occasions,February,8,10,10,8,1744,8720,Tuesday,2,Feb,
222,C099,6,5,2023-02-26,5:57:25 AM,2023-03-07,6:20:50 PM,Guntur,Holi,February,5,9,9,18,1112,5560,Sunday,2,Feb,
235,C071,56,2,2023-02-26,2:26:46 PM,2023-03-03,11:26:23 PM,Bhilai,Anniversary,February,14,5,5,23,1272,2544,Sunday,2,Feb,
246,C017,69,5,2023-02-28,11:24:33 PM,2023-03-08,12:38:49 AM,Agra,Holi,February,23,8,8,0,998,4990,Tuesday,2,Feb,
251,C051,7,4,2023-02-28,12:31:48 AM,2023-03-02,12:19:44 AM,Khora,Holi,February,0,2,2,0,409,1636,Tuesday,2,Feb,
252,C040,69,2,2023-02-26,5:41:28 AM,2023-02-28,8:11:16 AM,Nandyal,Holi,February,5,2,2,8,998,1996,Sunday,2,Feb,
285,C082,7,5,2023-02-26,5:26:44 PM,2023-03-01,12:52:20 PM,Tirunelveli,Holi,February,17,3,3,12,409,2045,Sunday,2,Feb,
297,C047,13,3,2023-02-28,8:15:29 PM,2023-03-05,8:52:27 PM,Phagwara,Holi,February,20,5,5,20,1141,3423,Tuesday,2,Feb,
301,C070,6,3,2023-02-27,6:24:22 AM,2023-03-04,4:52:16 PM,Kota,Holi,February,6,5,5,16,1112,3336,Monday,2,Feb,
323,C013,23,2,2023-02-09,6:13:04 PM,2023-02-10,10:22:35 AM,Khora,Anniversary,February,18,1,1,10,1098,2196,Thursday,2,Feb,
324,C073,14,2,2023-02-02,6:47:28 PM,2023-02-11,3:34:54 PM,North Dumdum,Birthday,February,18,9,9,15,1915,3830,Thursday,2,Feb,
333,C100,22,5,2023-02-09,6:19:15 AM,2023-02-10,3:46:29 AM,South Dumdum,All Occasions,February,6,1,1,3,1639,8195,Thursday,2,Feb,
354,C087,13,5,2023-02-26,5:25:28 PM,2023-03-06,9:43:32 AM,Narasaraopet,Holi,February,17,8,8,9,1141,5705,Sunday,2,Feb,
359,C052,47,2,2023-02-28,12:13:36 PM,2023-03-05,8:31:30 PM,Nagpur,Holi,February,12,5,5,20,1638,3276,Tuesday,2,Feb,
375,C091,46,1,2023-02-11,4:16:25 AM,2023-02-20,7:37:38 PM,Mysore,Anniversary,February,4,9,9,19,758,758,Saturday,2,Feb,
407,C074,69,3,2023-02-26,8:52:11 AM,2023-02-28,4:09:44 AM,Jamalpur,Holi,February,8,2,2,4,998,2994,Sunday,2,Feb,
409,C049,50,4,2023-02-26,5:43:59 PM,2023-02-28,7:44:57 PM,Khammam,Holi,February,17,2,2,19,422,1688,Sunday,2,Feb,
414,C034,7,4,2023-02-28,9:18:11 PM,2023-03-07,1:07:31 AM,Raurkela Industrial Township,Holi,February,21,7,7,1,409,1636,Tuesday,2,Feb,
420,C039,6,3,2023-02-27,8:36:20 AM,2023-02-28,12:07:29 AM,Kota,Holi,February,8,1,1,0,1112,3336,Monday,2,Feb,
433,C068,7,5,2023-02-26,11:33:51 PM,2023-03-02,4:19:56 AM,Amravati,Holi,February,23,4,4,4,409,2045,Sunday,2,Feb,
441,C052,26,2,2023-02-26,11:23:56 AM,2023-03-06,4:38:50 PM,Kurnool,Holi,February,11,8,8,16,289,578,Sunday,2,Feb,
447,C032,47,4,2023-02-27,2:45:34 AM,2023-03-04,3:04:56 PM,Bhilwara,Holi,February,2,5,5,15,1638,6552,Monday,2,Feb,
470,C031,47,5,2023-02-28,5:34:04 PM,2023-03-06,3:29:29 PM,Bhavnagar,Holi,February,17,6,6,15,1638,8190,Tuesday,2,Feb,
474,C051,1,4,2023-02-07,6:31:59 AM,2023-02-14,2:00:07 AM,Dibrugarh,All Occasions,February,6,7,7,2,1935,7740,Tuesday,2,Feb,
494,C082,7,4,2023-02-28,3:11:22 AM,2023-03-08,7:06:48 PM,Rewa,Holi,February,3,8,8,19,409,1636,Tuesday,2,Feb,
508,C035,69,1,2023-02-26,5:29:28 PM,2023-03-04,7:11:06 AM,Varanasi,Holi,February,17,6,6,7,998,998,Sunday,2,Feb,
511,C055,47,2,2023-02-27,12:58:05 PM,2023-03-04,12:46:11 AM,Dibrugarh,Holi,February,12,5,5,0,1638,3276,Monday,2,Feb,
